Date,Open,High,Low,Close,Adj Close,Volume,Return,MA10,MA20,MA50,Volatility10,Volume_Change,Target
2016-03-15,14.284667015075684,14.597999572753906,14.100000381469728,14.555999755859377,14.555999755859377,47707500,0.014826854254383903,13.652666664123535,12.799766540527344,12.685773296356201,0.019188560199066916,-0.21772388518582286,1
2016-03-16,14.533332824707031,14.838666915893556,14.468000411987305,14.795332908630373,14.795332908630373,52750500,0.01644223390939903,13.876599979400634,12.977266550064087,12.683799953460694,0.01909284969442498,0.10570664989781475,1
2016-03-17,14.764666557312012,15.233332633972168,14.666666984558104,15.092000007629396,15.092000007629396,56743500,0.02005139734476491,14.080866718292237,13.175966548919678,12.687733287811279,0.017464495795910823,0.07569596496715669,1
2016-03-18,15.273332595825195,15.631999969482422,15.20400047302246,15.515999794006348,15.515999794006348,70677000,0.02809434045604342,14.292199993133545,13.396499872207642,12.705999946594238,0.017546834514515153,0.24555235401411624,1
2016-03-21,15.689332962036133,15.991999626159668,15.666666984558104,15.887999534606934,15.887999534606934,79617000,0.023975234953553137,14.51239995956421,13.598433208465575,12.736226596832275,0.017681480438902056,0.12649093764591024,0
2016-03-22,15.814000129699709,15.932666778564451,15.503999710083008,15.616000175476074,15.616000175476074,64740000,-0.01711979903690175,14.723333263397217,13.788533210754395,12.76721326828003,0.018425084551197485,-0.18685707826218023,0
2016-03-23,15.4913330078125,15.648667335510254,14.802000045776367,14.838666915893556,14.838666915893556,74232000,-0.0497780001823559,14.815733242034913,13.933799886703492,12.786853275299073,0.026548883036229886,0.14661723818350314,1
2016-03-24,14.385333061218262,15.259332656860352,14.333333015441896,15.18333339691162,15.18333339691162,74413500,0.02322759065700808,14.96619987487793,14.068199920654298,12.810559940338134,0.025581555755428382,0.002445037180730747,1
2016-03-28,15.440667152404783,15.654000282287598,15.0,15.350666999816896,15.350666999816896,58885500,0.011020873910291273,15.11793327331543,14.201266622543335,12.850493278503418,0.025581072346576677,-0.20867181358221287,0
2016-03-29,15.326000213623049,15.491999626159668,15.022000312805176,15.342000007629396,15.342000007629396,60214500,-0.0005646003647661324,15.217799949645997,14.328599977493287,12.882426624298096,0.024028021638729382,0.022569223323229082,0
2016-03-30,15.672666549682615,15.699999809265137,15.100000381469728,15.12600040435791,15.12600040435791,60495000,-0.01407897296076599,15.274800014495849,14.463733339309693,12.911626625061036,0.02471310807531156,0.004658346411578584,1
2016-03-31,15.28933334350586,15.82800006866455,15.000666618347168,15.317999839782717,15.317999839782717,120193500,0.012693337980441255,15.327066707611086,14.60183334350586,12.945026626586914,0.024533313765187706,0.9868336226134391,1
