Date,Open,High,Low,Close,Adj Close,Volume
2016-03-14,59.150001525878906,59.310001373291016,58.599998474121094,59.119998931884766,45.20777893066406,13436100
2016-03-15,58.540000915527344,59.209999084472656,58.43000030517578,59.20000076293945,45.268959045410156,10910500
2016-03-16,58.97999954223633,59.75,58.470001220703125,58.91999816894531,45.054840087890625,17423900
2016-03-17,58.77000045776367,59.130001068115234,57.9900016784668,58.75,44.92485809326172,19405700
2016-03-18,60.04999923706055,60.970001220703125,59.65999984741211,60.47999954223633,46.24775695800781,29570200
2016-03-21,60.220001220703125,60.81999969482422,59.959999084472656,60.459999084472656,46.232452392578125,12684400
2016-03-22,59.9900016784668,60.58000183105469,59.619998931884766,60.2400016784668,46.0642204284668,12042700
2016-03-23,60.34000015258789,60.5099983215332,59.86000061035156,59.939998626708984,45.83480453491211,11658700
2016-03-24,59.29999923706055,59.5099983215332,58.869998931884766,59.47999954223633,45.483070373535156,12921200
2016-03-28,59.529998779296875,59.75,59.18000030517578,59.400001525878906,45.42189025878906,11159700
2016-03-29,59.33000183105469,59.33000183105469,58.529998779296875,59.029998779296875,45.13896179199219,15933400
2016-03-30,59.459999084472656,60.22999954223633,59.380001068115234,59.709999084472656,45.65894317626953,13307100
2016-03-31,59.45000076293945,59.93000030517578,59.11000061035156,59.220001220703125,45.28424835205078,14904700
2016-04-01,59.02000045776367,60.060001373291016,58.560001373291016,59.869998931884766,45.78128433227539,15417500
2016-04-04,59.439998626708984,59.56999969482422,58.959999084472656,59.20000076293945,45.60411834716797,12305000
2016-04-05,58.59000015258789,58.83000183105469,58.209999084472656,58.36000061035156,44.957027435302734,12886600
2016-04-06,58.18000030517578,58.880001068115234,57.95000076293945,58.810001373291016,45.303688049316406,12167900
2016-04-07,58.2599983215332,58.43000030517578,57.06999969482422,57.31999969482422,44.15586471557617,19226800
2016-04-08,57.709999084472656,58.58000183105469,57.689998626708984,57.7400016784668,44.47942352294922,13547700
2016-04-11,57.90999984741211,58.880001068115234,57.90999984741211,58.20000076293945,44.83376693725586,17627800
2016-04-12,58.34000015258789,59.38999938964844,58.20000076293945,59.279998779296875,45.66574478149414,17779200
2016-04-13,60.47999954223633,62.15999984741211,60.380001068115234,61.790000915527344,47.59930419921875,37516800
2016-04-14,61.689998626708984,62.90999984741211,61.61000061035156,62.59000015258789,48.21556854248047,24249900
2016-04-15,62.880001068115234,62.900001525878906,61.45000076293945,61.869998931884766,47.660919189453125,19290700
2016-04-18,61.63999938964844,62.58000183105469,61.529998779296875,62.27000045776367,47.969051361083984,13813100
2016-04-19,62.54999923706055,63.47999954223633,62.54999923706055,63.31999969482422,48.777923583984375,19255600
2016-04-20,63.47999954223633,64.30999755859375,63.150001525878906,64.23999786376953,49.486629486083984,14594400
2016-04-21,64.26000213623047,64.66000366210938,63.34000015258789,63.599998474121094,48.993621826171875,15395800
2016-04-22,63.63999938964844,64.37999725341797,63.63999938964844,63.970001220703125,49.27863311767578,12444700
2016-04-25,63.599998474121094,63.95000076293945,63.150001525878906,63.599998474121094,48.993621826171875,10687200
2016-04-26,63.810001373291016,64.06999969482422,63.33000183105469,63.93000030517578,49.24781036376953,12048000
2016-04-27,63.86000061035156,64.63999938964844,63.599998474121094,64.11000061035156,49.38648223876953,15284100
2016-04-28,63.63999938964844,64.41999816894531,63.349998474121094,63.599998474121094,48.993621826171875,12852500
2016-04-29,63.09000015258789,63.61000061035156,62.70000076293945,63.20000076293945,48.685462951660156,16376400
2016-05-02,63.689998626708984,64.0,63.13999938964844,63.790000915527344,49.139976501464844,10247300
2016-05-03,62.900001525878906,62.90999984741211,61.79999923706055,62.560001373291016,48.19245529174805,19120300
2016-05-04,61.75,62.2599983215332,61.27000045776367,61.56999969482422,47.42981719970703,17030200
2016-05-05,61.599998474121094,62.0,61.060001373291016,61.2400016784668,47.175601959228516,14033900
2016-05-06,60.70000076293945,61.68000030517578,60.59000015258789,61.599998474121094,47.45293045043945,11057900
2016-05-09,61.369998931884766,61.88999938964844,61.04999923706055,61.209999084472656,47.15249252319336,11197100
2016-05-10,61.54999923706055,62.2599983215332,61.349998474121094,62.040000915527344,47.79187774658203,11897200
2016-05-11,61.970001220703125,62.599998474121094,61.810001373291016,61.810001373291016,47.61471176147461,11254000
2016-05-12,62.27000045776367,62.560001373291016,61.369998931884766,61.77000045776367,47.583885192871094,11071700
2016-05-13,61.70000076293945,62.400001525878906,61.02000045776367,61.20000076293945,47.14479064941406,15122300
2016-05-16,61.209999084472656,61.9900016784668,61.0,61.65999984741211,47.499141693115234,10951300
2016-05-17,61.43000030517578,62.15999984741211,61.150001525878906,61.65999984741211,47.499141693115234,12180900
2016-05-18,61.70000076293945,64.16999816894531,61.689998626708984,64.04000091552734,49.33256530761719,24007100
2016-05-19,63.529998779296875,64.22000122070312,62.900001525878906,63.38999938964844,48.83183670043945,16076200
